FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,MM/DD/YY h:mm:ss.nnnnnnnnn
StartTime,01/20/23 09:22:35.531249984
TimeFormat,Standard

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
56803:ch1,Timeseries,32Hz,,,,,,
56803:ch2,Timeseries,32Hz,,,,,,
56803:ch3,Timeseries,32Hz,,,,,,

DATA_START
Time,56803:ch1,56803:ch2,56803:ch3
01/20/23 09:22:35.531249984,-0.1476819106319454,-0.2394432469591266,-9.725535545119783
01/20/23 09:22:35.562499984,-0.1472256297274726,-0.2386889959452674,-9.723611605761107
01/20/23 09:22:35.593749984,-0.1496591278846608,-0.2397449473646702,-9.723611605761107
01/20/23 09:22:35.624999984,-0.1482902851712424,-0.2418568502034759,-9.724203587102238
01/20/23 09:22:35.656249984,-0.1501154087891337,-0.2370296437147772,-9.727163493807893
01/20/23 09:22:35.687499984,-0.1479860979015939,-0.2398957975674421,-9.726423517131479
01/20/23 09:22:35.718749984,-0.1496591278846608,-0.2398957975674421,-9.723019624419976
01/20/23 09:22:35.749999984,-0.1495070342498366,-0.238990696350811,-9.721687666402431
01/20/23 09:22:35.781249984,-0.1481381915364182,-0.2395940971618984,-9.725239554449217
01/20/23 09:22:35.812499984,-0.1479860979015939,-0.2394432469591266,-9.725979531125631
01/20/23 09:22:35.843749984,-0.1488986597105395,-0.2403483481757576,-9.724943563778652
01/20/23 09:22:35.874999984,-0.1488986597105395,-0.2411025991896167,-9.722871629084693
01/20/23 09:22:35.906249984,-0.1475298169971211,-0.2403483481757576,-9.723167619755259
01/20/23 09:22:35.937499984,-0.1476819106319454,-0.2400466477702139,-9.719911722379038
01/20/23 09:22:35.968749984,-0.1516363451373763,-0.238990696350811,-9.725535545119783
01/20/23 09:22:35.999999984,-0.1470735360926483,-0.2395940971618984,-9.721687666402431
01/20/23 09:22:36.031249984,-0.1493549406150123,-0.2397449473646702,-9.726719507802045
01/20/23 09:22:36.062499984,-0.1463130679185269,-0.2406500485813012,-9.722279647743562
01/20/23 09:22:36.093749984,-0.1484423788060667,-0.2394432469591266,-9.72805146581959
01/20/23 09:22:36.124999984,-0.1488986597105395,-0.2404991983785294,-9.724943563778652
01/20/23 09:22:36.156249984,-0.1464651615533512,-0.2395940971618984,-9.715471862320555
01/20/23 09:22:36.187499984,-0.1493549406150123,-0.2388398461480392,-9.718727759696776
01/20/23 09:22:36.218749984,-0.1464651615533512,-0.2404991983785294,-9.725091559113935
01/20/23 09:22:36.249999984,-0.1493549406150123,-0.2417060000007041,-9.730567386519397
01/20/23 09:22:36.281249984,-0.1481381915364182,-0.2395940971618984,-9.729235428501852
01/20/23 09:22:36.312499984,-0.1481381915364182,-0.2392923967563547,-9.722575638414128
01/20/23 09:22:36.343749984,-0.1473777233622968,-0.2404991983785294,-9.718579764361493
01/20/23 09:22:36.374999984,-0.1481381915364182,-0.2385381457424955,-9.7210956850613
01/20/23 09:22:36.406249984,-0.148594472440891,-0.2398957975674421,-9.726423517131479
01/20/23 09:22:36.437499984,-0.1475298169971211,-0.2409517489868449,-9.72805146581959
01/20/23 09:22:36.468749984,-0.1473777233622968,-0.2394432469591266,-9.723907596431673
01/20/23 09:22:36.499999984,-0.1473777233622968,-0.2404991983785294,-9.723315615090542
01/20/23 09:22:36.531249984,-0.1466172551881755,-0.2404991983785294,-9.720355708384886
01/20/23 09:22:36.562499984,-0.1466172551881755,-0.2386889959452674,-9.721539671067148
01/20/23 09:22:36.593749984,-0.1476819106319454,-0.2394432469591266,-9.727607479813742
01/20/23 09:22:36.624999984,-0.1476819106319454,-0.2391415465535829,-9.726571512466762
01/20/23 09:22:36.656249984,-0.1466172551881755,-0.237180493917549,-9.722427643078845
01/20/23 09:22:36.687499984,-0.148594472440891,-0.238990696350811,-9.720207713049604
01/20/23 09:22:36.718749984,-0.149202846980188,-0.2392923967563547,-9.722131652408279
01/20/23 09:22:36.749999984,-0.1450963188399328,-0.2377838947286364,-9.723167619755259
01/20/23 09:22:36.781249984,-0.1498112215194851,-0.2386889959452674,-9.724795568443369
01/20/23 09:22:36.812499984,-0.1472256297274726,-0.2400466477702139,-9.722723633749411
01/20/23 09:22:36.843749984,-0.148594472440891,-0.2395940971618984,-9.724055591766955
01/20/23 09:22:36.874999984,-0.1472256297274726,-0.2404991983785294,-9.721539671067148
